"No.","Time","Delta","Source","Destination","Protocol","Length","Info"
"1","2026-09-03 10:47:10,598203Z","","127.0.0.1","127.0.0.1","TCP","56","49162  >  135 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"2","2026-09-03 10:47:10,598244Z","0.000041","127.0.0.1","127.0.0.1","TCP","56","135  >  49162 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"3","2026-09-03 10:47:10,598303Z","0.000059","127.0.0.1","127.0.0.1","TCP","44","49162  >  135 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"4","2026-09-03 10:47:10,681299Z","0.082996","127.0.0.1","127.0.0.1","TCP","56","49163  >  1337 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"5","2026-09-03 10:47:10,681342Z","0.000043","127.0.0.1","127.0.0.1","TCP","56","1337  >  49163 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"6","2026-09-03 10:47:10,681494Z","0.000152","127.0.0.1","127.0.0.1","TCP","44","49163  >  1337 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"7","2026-09-03 10:47:10,681630Z","0.000136","127.0.0.1","127.0.0.1","DCERPC","160","Bind: call_id: 2, Fragment: Single, 2 context items: IOXIDResolver V0.0 (32bit NDR), IOXIDResolver V0.0 (6cb71c2c-9812-4540-0300-000000000000)"
"8","2026-09-03 10:47:10,681652Z","0.000022","127.0.0.1","127.0.0.1","TCP","44","1337  >  49163 [ACK] Seq=1 Ack=117 Win=525568 Len=0"
"9","2026-09-03 10:47:10,682095Z","0.000443","127.0.0.1","127.0.0.1","DCERPC","160","Bind: call_id: 2, Fragment: Single, 2 context items: IOXIDResolver V0.0 (32bit NDR), IOXIDResolver V0.0 (6cb71c2c-9812-4540-0300-000000000000)"
"10","2026-09-03 10:47:10,682124Z","0.000029","127.0.0.1","127.0.0.1","TCP","44","135  >  49162 [ACK] Seq=1 Ack=117 Win=525568 Len=0"
"11","2026-09-03 10:47:10,682309Z","0.000185","127.0.0.1","127.0.0.1","DCERPC","128","Bind_ack: call_id: 2, Fragment: Single, max_xmit: 5840 max_recv: 5840, 2 results: Acceptance, Negotiate ACK"
